PERMNO,GVKEY,IID,LINKTYPE,PERMCO,tic,cusip,conm
77898,25719,1,LU,11702,CASB,147272108,CASCADE FINANCIAL CORP
89008,142462,1,LC,41682,PNX,71902E604,PHOENIX COMPANIES INC
15077,10974,1,LC,21796,UST.1,902911106,UST INC
90471,121974,1,LC,45994,BCAR,06425J102,BANK OF THE CAROLINAS
11847,16838,1,LU,9664,FFHS,320272107,FIRST FRANKLIN CORP
49015,6742,1,LC,21105,LNC,534187109,LINCOLN NATIONAL CORP
86253,115121,1,LU,16231,CITZ.1,12525D102,CFS BANCORP INC
88257,112254,1,LC,37522,PFBX,71103B102,PEOPLES FINANCIAL CORP/MS
90399,266216,1,LC,45707,ACFC,048426100,ATLANTIC COAST FINANCIAL CP
35238,8475,1,LC,21383,PBY.1,713278109,PEP BOYS-MANNY MOE & JACK
84825,62123,1,LU,15490,PBHC,70319R109,PATHFINDER BANCORP INC
25443,8818,1,LC,21461,PSD,745310102,PUGET ENERGY INC
72005,9921,1,LU,4227,SEH,847220209,SPARTECH CORP
49656,2019,1,LC,20265,BK,064058100,BANK OF NEW YORK MELLON CORP
47133,6346,1,LU,5113,CKR,12561E105,CKE RESTAURANTS INC
74500,10305,1,LC,4456,TSRI,872885207,TSR INC
10375,15363,1,LC,8292,TCF,872307103,TCF FINANCIAL CORP
11790,1266,1,LU,153,ALCO,016230104,ALICO INC
69032,12124,1,LC,21224,MS,617446448,MORGAN STANLEY
85728,66148,1,LU,15912,EVBS,277196101,EASTERN VA BANKSHARES INC
93105,17157,1,LC,7427,WHCI,929251874,W HOLDING CO INC
11823,17030,1,LC,9630,PBKS,743859100,PROVIDENT BANKSHARES CORP
81702,11315,1,LC,4987,WPP.2,943315101,WAUSAU PAPER CORP
86157,111779,1,LC,16163,COBZ,190897108,COBIZ FINANCIAL INC
90416,161014,1,LC,45722,NVSL,63906P107,NAUGATUCK VALLEY FINANCIAL
10205,16898,1,LU,8140,LSBX,50215P100,LSB CORP
79210,28216,1,LC,29863,RGA,759351604,REINSURANCE GROUP AMER INC
90597,162122,1,LC,46278,HLND.,431291103,HILAND PARTNERS LP
91490,175085,1,LC,51203,HPGP,43129M107,HILAND HOLDINGS GP LP
24643,1356,1,LC,20060,AA.3,013817507,ALCOA INC
76435,21374,1,LU,10552,SAVB,804748101,SAVANNAH BANCORP INC
43481,10008,1,LU,21662,SXI,854231107,STANDEX INTERNATIONAL CORP
89292,65483,1,LC,42653,STEL,85856G100,STELLARONE CORP
91628,176248,1,LC,51527,ATN,049303100,ATLAS ENERGY RESOURCES LLC
43721,6830,1,LC,21123,LZ,549271104,LUBRIZOL CORP
81055,30990,1,LC,30513,COF,14040H105,CAPITAL ONE FINANCIAL CORP
10225,1408,1,LC,20067,BEAM.2,073730103,BEAM INC
76644,23978,1,LU,29028,X,912909108,UNITED STATES STEEL CORP
